,Name,Party,State,District,Start,Twitter
337,Scott Perry,Republican Party,Pennsylvania,10,"January 3, 2019",RepScottPerry
338,Lloyd Smucker,Republican Party,Pennsylvania,11,"January 3, 2019",RepSmucker
339,Summer Lee,Democratic Party,Pennsylvania,12,"January 3, 2023",RepSummerLee
340,John Joyce,Republican Party,Pennsylvania,13,"January 3, 2019",RepJohnJoyce
341,Guy Reschenthaler,Republican Party,Pennsylvania,14,"January 3, 2019",GReschenthaler
342,Glenn Thompson,Republican Party,Pennsylvania,15,"January 3, 2019",CongressmanGT
343,Mike Kelly,Republican Party,Pennsylvania,16,"January 3, 2019",MikeKellyPA
344,Christopher Deluzio,Democratic Party,Pennsylvania,17,"January 3, 2023",RepDeluzio
345,David N. Cicilline,Democratic Party,Rhode Island,1,"January 3, 2011",RepCicilline
346,Seth Magaziner,Democratic Party,Rhode Island,2,"January 3, 2023",Rep_Magaziner
347,Nancy Mace,Republican Party,South Carolina,1,"January 3, 2021",RepNancyMace
348,Joe Wilson,Republican Party,South Carolina,2,"January 3, 2001",RepJoeWilson
349,Jeff Duncan,Republican Party,South Carolina,3,"January 3, 2011",RepJeffDuncan
350,William Timmons,Republican Party,South Carolina,4,"January 3, 2019",RepTimmons
351,Ralph Norman,Republican Party,South Carolina,5,"June 26, 2017",RepRalphNorman
352,James Clyburn,Democratic Party,South Carolina,6,"January 3, 1993",RepJamesClyburn
353,Russell Fry,Republican Party,South Carolina,7,"January 3, 2023",RepRussellFry
354,Dusty Johnson,Republican Party,South Dakota,A,"January 3, 2019",RepDustyJohnson
355,Diana Harshbarger,Republican Party,Tennessee,1,"January 3, 2021",RepHarshbarger
356,Tim Burchett,Republican Party,Tennessee,2,"January 3, 2019",RepTimBurchett
357,Charles J. Fleischmann,Republican Party,Tennessee,3,"January 3, 2011",RepChuck
358,Scott DesJarlais,Republican Party,Tennessee,4,"January 3, 2011",DesJarlaisTN04
359,Andy Ogles,Republican Party,Tennessee,5,"January 3, 2023",RepOgles
360,John Rose,Republican Party,Tennessee,6,"January 3, 2019",RepJohnRose
361,Mark Green,Republican Party,Tennessee,7,"January 3, 2019",RepMarkGreen
362,David Kustoff,Republican Party,Tennessee,8,"January 3, 2017",RepDavidKustoff
363,Steve Cohen,Democratic Party,Tennessee,9,"January 3, 2007",RepCohen
364,Nathaniel Moran,Republican Party,Texas,1,"January 3, 2023",RepNateMoran
365,Daniel Crenshaw,Republican Party,Texas,2,"January 3, 2019",RepDanCrenshaw
366,Keith Self,Republican Party,Texas,3,"January 3, 2023",selfforcongress
367,Pat Fallon,Republican Party,Texas,4,"January 3, 2021",RepPatFallon
368,Lance Gooden,Republican Party,Texas,5,"January 3, 2019",Lancegooden
369,Jake Ellzey,Republican Party,Texas,6,"July 30, 2021",RepEllzey
370,Lizzie Pannill Fletcher,Democratic Party,Texas,7,"January 3, 2019",RepFletcher
371,Morgan Luttrell,Republican Party,Texas,8,"January 3, 2023",MLuttrellTX
372,Al Green,Democratic Party,Texas,9,"January 3, 2005",RepAlGreen
373,Michael McCaul,Republican Party,Texas,10,"January 3, 2005",RepMcCaul
374,August Pfluger,Republican Party,Texas,11,"January 3, 2021",RepPfluger
375,Kay Granger,Republican Party,Texas,12,"January 3, 1997",RepKayGranger
376,Ronny L. Jackson,Republican Party,Texas,13,"January 3, 2021",RepRonnyJackson
377,Randy Weber,Republican Party,Texas,14,"January 3, 2013",TXRandy14
378,Monica De La Cruz,Republican Party,Texas,15,"January 3, 2023",monica4congress
379,Veronica Escobar,Democratic Party,Texas,16,"January 3, 2019",RepEscobar
380,Pete Sessions,Republican Party,Texas,17,"January 3, 2021",PeteSessions
381,Sheila Jackson Lee,Democratic Party,Texas,18,"January 3, 1995",JacksonLeeTX18
382,Jodey Arrington,Republican Party,Texas,19,"January 3, 2017",RepArrington
383,Joaquin Castro,Democratic Party,Texas,20,"January 3, 2013",JoaquinCastrotx
384,Chip Roy,Republican Party,Texas,21,"January 3, 2019",RepChipRoy
385,Troy Nehls,Republican Party,Texas,22,"January 3, 2021",RepTroyNehls
386,Tony Gonzales,Republican Party,Texas,23,"January 3, 2021",RepTonyGonzales
387,Beth Van Duyne,Republican Party,Texas,24,"January 3, 2021",RepBethVanDuyne
388,Roger Williams,Republican Party,Texas,25,"January 3, 2013",RepRWilliams
389,Michael C. Burgess,Republican Party,Texas,26,"January 3, 2003",michaelcburgess
390,Michael Cloud,Republican Party,Texas,27,"July 10, 2018",RepCloudTX
391,Henry Cuellar,Democratic Party,Texas,28,"January 3, 2005",RepCuellar
392,Sylvia Garcia,Democratic Party,Texas,29,"January 3, 2019",RepSylviaGarcia
393,Jasmine Crockett,Democratic Party,Texas,30,"January 3, 2023",JasmineForUS
394,John Carter,Republican Party,Texas,31,"January 3, 2003",JudgeCarter
395,Colin Allred,Democratic Party,Texas,32,"January 3, 2019",RepColinAllred
396,Marc Veasey,Democratic Party,Texas,33,"January 3, 2013",RepVeasey
397,Vicente Gonzalez Jr.,Democratic Party,Texas,34,"January 3, 2023",RepGonzalez
398,Greg Casar,Democratic Party,Texas,35,"January 3, 2023",GregCasar
399,Brian Babin,Republican Party,Texas,36,"January 3, 2015",RepBrianBabin
400,Lloyd Doggett,Democratic Party,Texas,37,"January 3, 2023",RepLloydDoggett
401,Wesley Hunt,Republican Party,Texas,38,"January 3, 2023",WesleyHuntTX
402,Blake Moore,Republican Party,Utah,1,"January 3, 2021",RepBlakeMoore
403,Chris Stewart,Republican Party,Utah,2,"January 3, 2013",repchrisstewart
404,John Curtis,Republican Party,Utah,3,"November 13, 2017",RepJohnCurtis
405,Burgess Owens,Republican Party,Utah,4,"January 3, 2021",RepBurgessOwens
406,Becca Balint,Democratic Party,Vermont,A,"January 3, 2023",beccabalintvt
407,Stacey Plaskett,Democratic Party,Virgin Islands,A,"January 3, 2015",StaceyPlaskett
408,Robert J. Wittman,Republican Party,Virginia,1,"January 3, 2007",RobWittman
409,Jennifer Kiggans,Republican Party,Virginia,2,"January 3, 2023",JenKiggans
410,Robert C. Scott,Democratic Party,Virginia,3,"January 3, 1993",BobbyScott
411,Jennifer McClellan,Democratic Party,Virginia,4,"March 7, 2023",RepMcClellan
412,Bob Good,Republican Party,Virginia,5,"January 3, 2021",RepBobGood
413,Benjamin Lee Cline,Republican Party,Virginia,6,"January 3, 2019",RepBenCline
414,Abigail Spanberger,Democratic Party,Virginia,7,"January 3, 2019",RepSpanberger
415,Donald Sternoff Beyer Jr.,Democratic Party,Virginia,8,"January 3, 2015",RepDonBeyer
416,H. Morgan Griffith,Republican Party,Virginia,9,"January 3, 2011",RepMGriffith
417,Jennifer Wexton,Democratic Party,Virginia,10,"January 3, 2019",RepWexton
418,Gerald Edward Connolly,Democratic Party,Virginia,11,"January 3, 2009",GerryConnolly
419,Suzan DelBene,Democratic Party,Washington,1,"November 13, 2012",RepDelBene
420,Rick Larsen,Democratic Party,Washington,2,"January 3, 2001",RepRickLarsen
421,Marie Gluesenkamp Pérez,Democratic Party,Washington,3,"January 3, 2023",MGPforCongress
422,Dan Newhouse,Republican Party,Washington,4,"January 3, 2015",repnewhouse
423,Cathy McMorris Rodgers,Republican Party,Washington,5,"January 3, 2005",cathymcmorris
424,Derek Kilmer,Democratic Party,Washington,6,"January 3, 2013",RepDerekKilmer
425,Pramila Jayapal,Democratic Party,Washington,7,"January 3, 2017",RepJayapal
426,Kim Schrier,Democratic Party,Washington,8,"January 3, 2019",repkimschrier
427,D. Adam Smith,Democratic Party,Washington,9,"January 3, 1997",RepAdamSmith
428,Marilyn Strickland,Democratic Party,Washington,10,"January 3, 2021",RepStricklandWA
429,Carol Miller,Republican Party,West Virginia,1,"January 3, 2023",RepCarolMiller
430,Alexander Mooney,Republican Party,West Virginia,2,"January 3, 2015",RepAlexMooney
431,Bryan Steil,Republican Party,Wisconsin,1,"January 3, 2019",RepBryanSteil
432,Mark Pocan,Democratic Party,Wisconsin,2,"January 3, 2013",RepMarkPocan
433,Derrick Van Orden,Republican Party,Wisconsin,3,"January 3, 2023",derrickvanorden
434,Gwen Moore,Democratic Party,Wisconsin,4,"January 3, 2005",RepGwenMoore
435,Scott Fitzgerald,Republican Party,Wisconsin,5,"January 3, 2021",RepFitzgerald
436,Glenn Grothman,Republican Party,Wisconsin,6,"January 3, 2015",RepGrothman
437,Tom Tiffany,Republican Party,Wisconsin,7,"May 19, 2020",RepTiffany
438,Mike Gallagher,Republican Party,Wisconsin,8,"January 3, 2017",RepGallagher
439,Harriet Hageman,Republican Party,Wyoming,A,"January 3, 2023",HagemanforWY
